@ NAME             %06s "NONLIN"
@ TYPE             %06s "NONLIN"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "03/09/19"
@ TIME             %08s "16.32.42"
* NAME               NICKNAME           BASEVARIABLE                    VALUE      ORDER    ORDER_X   ORDER_PX    ORDER_Y   ORDER_PY   ORDER_PT    ORDER_T 
$ %s                 %s                 %s                                %le         %d         %d         %d         %d         %d         %d         %d 
 "GNFC_0_1_0_2_0_0"  "F_010200_RE"       "GEN_FUN_COS"           0.009306242761          3          0          1          0          2          0          0
 "GNFA_0_0_1_1_1_0"  "F_001110"          "GEN_FUN_AMP"            0.05979340754          3          0          0          1          1          1          0
 "GNFS_0_0_1_1_1_0"  "F_001110_IM"       "GEN_FUN_SIN"            0.01450203147          3          0          0          1          1          1          0
 "GNFC_0_0_1_1_1_0"  "F_001110_RE"       "GEN_FUN_COS"            0.05800812588          3          0          0          1          1          1          0
 "GNFA_1_0_0_0_2_0"  "F_100020"          "GEN_FUN_AMP"             0.1142175214          3          1          0          0          0          2          0
 "GNFS_1_0_0_0_2_0"  "F_100020_IM"       "GEN_FUN_SIN"            0.08648949504          3          1          0          0          0          2          0
 "GNFC_1_0_0_0_2_0"  "F_100020_RE"       "GEN_FUN_COS"           -0.07460033138          3          1          0          0          0          2          0
 "GNFA_0_1_0_0_2_0"  "F_010020"          "GEN_FUN_AMP"             0.1142175214          3          0          1          0          0          2          0
 "GNFS_0_1_0_0_2_0"  "F_010020_IM"       "GEN_FUN_SIN"           -0.07460033138          3          0          1          0          0          2          0
 "GNFC_0_1_0_0_2_0"  "F_010020_RE"       "GEN_FUN_COS"            0.08648949504          3          0          1          0          0          2          0
 "GNFA_0_0_0_2_1_0"  "F_000210"          "GEN_FUN_AMP"            0.07571845343          3          0          0          0          2          1          0
 "GNFS_0_0_0_2_1_0"  "F_000210_IM"       "GEN_FUN_SIN"           -0.06023821683          3          0          0          0          2          1          0
 "GNFC_0_0_0_2_1_0"  "F_000210_RE"       "GEN_FUN_COS"            0.04587637108          3          0          0          0          2          1          0
 "GNFA_4_0_0_0_0_0"  "F_400000"          "GEN_FUN_AMP"            0.04770816895          4          4          0          0          0          0          0
 "GNFS_4_0_0_0_0_0"  "F_400000_IM"       "GEN_FUN_SIN"            0.04564341186          4          4          0          0          0          0          0
 "GNFC_4_0_0_0_0_0"  "F_400000_RE"       "GEN_FUN_COS"            0.01388338353          4          4          0          0          0          0          0
 "GNFA_3_1_0_0_0_0"  "F_310000"          "GEN_FUN_AMP"            0.03768436298          4          3          1          0          0          0          0
